Sample_ID,Device,Concentration_mM,Scan_Rate_mVs,PC1_Score,PC2_Score,Device_Prediction_Score,Actual_Device_Code,OX_Voltage_V,OX_Current_A,RED_Voltage_V,RED_Current_A,Peak_Separation_V
282,Palmsens,10.0,100,0.44795137774993665,-0.09038459682083973,0.1969355857044302,0,0.010308012,-261.45,0.27051,249.222,0.260201988
283,Palmsens,10.0,100,1.0339765805867143,0.013785169955183797,0.19696024366989834,0,0.010308012,-261.64,0.27051,249.032,0.260201988
284,Palmsens,10.0,100,0.7591026625713055,0.032950653195665695,0.1968334812935969,0,0.010308012,-262.019,0.27051,249.411,0.260201988
285,Palmsens,10.0,100,1.5149044940418657,0.21484424025874188,0.19671881577796024,0,0.010308012,-262.493,0.27051,249.696,0.260201988
286,Palmsens,10.0,100,1.2170469950363638,0.06845539935863956,0.19673815866234118,0,0.010308012,-262.304,0.27051,249.696,0.260201988
287,Palmsens,10.0,100,1.0327614126620244,0.5508271876875449,0.1966652220930346,0,0.010308012,-262.588,0.27051,249.885,0.260201988
288,Palmsens,10.0,100,1.5406619945475888,-0.21317246054049105,0.19656752521495618,0,0.010308012,-262.683,0.27051,250.264,0.260201988
289,Palmsens,10.0,100,0.40309662892471076,0.29337827087982365,0.19638693703165988,0,0.010308012,-263.157,0.27051,250.833,0.260201988
290,Palmsens,10.0,100,1.2978710846859782,0.16344112200373606,0.1960821928409538,0,0.010308012,-264.2,0.27051,251.686,0.260201988
291,Palmsens,10.0,100,0.8365475570666915,0.29782146357645856,0.24636429083791117,0,-0.039730884,-230.585,0.290525,216.409,0.330255884
292,Palmsens,10.0,100,1.2693617930225427,-0.1471462170583762,0.24632546202416628,0,-0.039730884,-230.538,0.290525,216.597,0.330255884
293,Palmsens,10.0,100,1.3575840073895546,-0.12140482233530579,0.24629860861326192,0,-0.039730884,-230.501,0.290525,216.729,0.330255884
294,Palmsens,10.0,100,1.017146230417444,0.12056403317895897,0.24636457751698226,0,-0.039730884,-230.369,0.290525,216.503,0.330255884
295,Palmsens,10.0,100,1.64508268639118,0.11989118029913318,0.24639773551103045,0,-0.039730884,-229.918,0.290525,216.559,0.330255884
296,Palmsens,10.0,100,0.7229523662219995,-0.09623360030271794,0.24645921487016215,0,-0.039730884,-229.721,0.290525,216.381,0.330255884
297,Palmsens,10.0,100,0.5084456289719603,0.31188805208366227,0.24648882322932242,0,-0.039730884,-229.815,0.290525,216.212,0.330255884
298,Palmsens,10.0,100,0.8830044152752312,-0.6885522663028212,0.24643069099655707,0,-0.039730884,-230.256,0.290525,216.268,0.330255884
299,Palmsens,10.0,100,1.6916922425773584,-0.20981388648153187,0.2463018111637737,0,-0.039730884,-230.726,0.290525,216.616,0.330255884
300,Palmsens,10.0,100,1.0542299842927556,0.07824714076292866,0.24613341602222033,0,-0.039730884,-231.412,0.290525,217.039,0.330255884
301,Palmsens,10.0,100,0.4400892175366786,0.1422310025132619,0.014682335892409915,0,0.010308012,-256.142,0.290525,244.564,0.280216988
302,Palmsens,10.0,100,0.8044168499917952,0.02024992272777538,0.014615975493676825,0,0.010308012,-256.237,0.290525,244.808,0.280216988
303,Palmsens,10.0,100,0.24034723483889026,-0.09023254983911388,0.014602744535731016,0,0.010308012,-256.237,0.290525,244.865,0.280216988
304,Palmsens,10.0,100,0.6251093037590014,0.3197246197398935,0.014616436951255085,0,0.010308012,-255.763,0.290525,245.015,0.280216988
